_id,synthetic_question,synthetic_answer
6609516,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is not wheelchair accessible, as it is located on a high floor and there is no mention of an elevator or ramp access in the building."
6609516,Is there a washer and dryer in the apartment?,"Yes, there is a washing machine in the large bathroom."
20788473,Does the apartment have step-free access?,"Yes, the apartment has step-free access, with a wide doorway and clearance to the bed and shower, making it accessible for those with mobility needs."
20788473,Is there a private entrance to the apartment?,"Yes, the apartment has its own private entrance for guests to come and go as they please."
20788473,What amenities are available in the living room?,"The living room has a TV, Wi-Fi, and a laptop-friendly workspace."
1656017,Is the property wheelchair accessible?,"No, the property is not mentioned to be wheelchair accessible, and the description of the property as an older home with stairs and a clothesline suggests it may not be easily navigable for those with limited mobility."
1656017,What kind of parking is available at the property?,The property offers off-street parking for guests.
2161945,Is the house wheelchair accessible?,"No, the house is a 2-storey semi, and there is no mention of a wheelchair ramp or elevator."
2161945,Is there a car port on the property?,"Yes, the property offers a car port for parking."
2161945,Does the property have a washer and dryer?,"Yes, the property has a washer."
12667749,Are there any accessibility features for people with disabilities at this property?,"The property listing does not explicitly mention any accessibility features for people with disabilities. It would be best to contact the host directly to inquire about specific accessibility accommodations, as they may be able to provide more detailed information or make arrangements to meet your needs."
